time_ms,J1,J2,J3,J4,J5,gripper
42,89.14765954017639,88.93448839927055,102.99361323233128,80.89407835040791,83.19124520792224,open
87,89.14765954017639,88.93448839927055,102.99361323233128,80.89407835040791,85.31079089111626,open
130,89.14765954017639,88.93448839927055,100.25878272994252,78.3669535627381,87.44865728782133,open
174,87.00713157653809,88.93448839927055,100.25878272994252,78.3669535627381,89.82737487312218,open
217,87.00713157653809,88.93448839927055,100.25878272994252,78.3669535627381,92.17710813454835,open
261,87.00713157653809,88.93448839927055,100.25878272994252,78.3669535627381,92.17710813454835,open
309,87.00713157653809,88.93448839927055,100.25878272994252,76.07816188413963,92.17710813454835,open
352,87.00713157653809,88.93448839927055,97.33943350983826,76.07816188413963,92.17710813454835,open
396,87.00713157653809,88.93448839927055,97.33943350983826,76.07816188413963,92.17710813454835,open
438,87.00713157653809,91.19708008191851,97.33943350983826,73.776745983909,92.17710813454835,open
486,87.00713157653809,91.19708008191851,97.33943350983826,73.776745983909,92.17710813454835,open
531,87.00713157653809,91.19708008191851,97.33943350983826,76.35196528522764,92.17710813454835,open
573,87.00713157653809,93.77241049389686,97.33943350983826,76.35196528522764,90.09875850100445,open
617,87.00713157653809,93.77241049389686,97.33943350983826,76.35196528522764,90.09875850100445,open
661,87.00713157653809,93.77241049389686,94.79407067870173,71.35196528522764,86.21183920485083,open
