time_ms,J1,J2,J3,J4,J5,gripper
6413,80.63120766696252,140.0,80.0,103.55125604106941,50.0,close
6487,80.6314660154825,140.0,80.0,103.22349149003118,50.0,close
6565,80.63402860050363,140.0,80.0,103.08512196719165,50.0,close
6647,80.63769096114137,140.0,80.0,103.09041293010296,50.0,close
6718,80.63934636273768,140.0,80.0,103.053711464992,50.0,close
6783,80.63686747074469,140.0,80.0,103.40743556638128,50.0,close
6846,80.63073606817824,140.0,80.0,103.687356110696,50.0,close
6920,80.61371652282989,140.0,80.0,103.8292534417759,50.0,close
7002,80.5843841885282,140.0,80.0,103.52315213195875,50.0,close
7080,80.5371349178842,140.0,80.0,103.43421423583573,50.0,close
7160,80.47941528674428,140.0,80.0,103.61491897585957,50.0,close
7231,80.39108755444244,140.0,80.0,103.9069862002383,58.83864411508097,close
7315,80.28259475113762,140.0,80.0,104.10321978811034,64.10045453625796,close
7384,80.17662877978638,140.0,80.0,104.64338027150944,64.18173873038822,close
7469,80.11112953048573,140.0,80.0,105.68476007421368,62.38113110349286,close
7548,80.12822434061657,138.36815595541134,80.0,107.19987877844875,59.3611863232706,close
7620,80.30364412974592,135.6723787891107,80.0,108.78476655497639,50.0,close
7695,80.67990440692408,132.52724198431855,80.0,110.39801997929385,50.0,close
7755,81.28987201582333,128.08859427288274,80.0,112.2652127351372,50.0,close
7829,82.06106224524015,123.51646470023363,80.0,114.03469842620129,50.0,close
7906,82.88363122749118,118.44710875382506,80.0,115.56277318149301,50.0,close
7989,83.6911700283209,114.02165553321944,80.0,116.21555579064751,50.0,close
8060,84.44275757086223,110.30086186987499,80.0,116.09680881004807,50.0,close
8136,85.11589669567128,107.41531838212674,85.79033603721757,114.84475679963222,50.0,close
8201,85.68176650061812,105.00120233890006,99.80927693976348,112.5470795956091,50.0,close
8270,86.12410979317144,102.92457095111493,112.05463945711078,110.52405466016484,50.0,close
8343,86.54180664128597,101.70803252574015,119.11235840818946,109.36789413508257,50.0,close
8411,86.9298057375502,101.26710303813634,120.0,109.36644848093182,50.0,close
8488,87.34896807992894,101.13679240843388,120.0,109.43160379578305,50.0,close
8567,87.80135734547123,101.15087182338344,120.0,109.42456408830827,50.0,close
8631,88.31344814482863,101.18620779596128,120.0,109.40689610201936,52.74980049175241,close
8708,88.89744833123224,101.30217696935203,120.0,109.34891151532396,56.13397084840295,close
8777,89.50601262906771,101.44334920361639,120.0,109.2783253981918,58.1033691717482,close
8842,90.1797111746323,101.66453362108845,120.0,109.16773318945577,58.989068789279315,close
8918,90.88498773722849,101.99326979746817,120.0,109.00336510126591,57.393314615804314,close
8983,91.60993344734511,102.3913733735577,120.0,108.80431331322114,55.98886746272015,close
9043,92.3935105421029,102.83660445675959,120.0,108.58169777162021,55.17964174476285,close
9118,93.28255109809405,103.30174959706723,120.0,108.34912520146639,57.303661316668666,close
9188,94.26764284445638,103.77542502712411,120.0,108.11228748643795,61.10962678848949,close
9258,95.21549516211468,104.31246121654728,120.0,107.84376939172637,64.95580595158012,close
9327,96.23179509064772,104.88703394499773,120.0,107.55648302750114,66.58212228060162,close
9391,97.3021211782754,105.48415343938701,120.0,107.2579232803065,66.09621096006688,close
9463,98.71247605233282,106.05303825236605,120.0,106.97348087381698,62.27896584517694,close
9533,100.21751759470631,106.568363089182,120.0,106.71581845540899,57.54518897609756,close
9603,101.84867744124696,107.07882477361447,120.0,106.46058761319276,53.111326632091874,close
9670,103.40539077304564,107.49284337219987,120.0,106.25357831390006,51.33484731156827,close
9735,104.75414004657837,107.84744528469788,120.0,106.07627735765107,50.57163456990256,close
9800,106.02328038981662,108.1051972176112,120.0,105.94740139119439,50.0,close
9877,106.98111044598747,108.31964424743431,120.0,105.84017787628285,50.0,close
9961,107.72506851844157,108.49609377014067,120.0,105.75195311492968,50.0,close
10030,108.55698332327347,108.66566496235059,120.0,105.6671675188247,50.0,close
10091,109.30961426412932,108.82915004274288,120.0,105.58542497862857,50.0,close
10158,109.91698256422748,108.98349202813618,120.0,105.50825398593192,50.0,close
10239,110.16351339825431,109.10862971854534,120.0,105.44568514072733,50.0,close
10301,110.37190805731606,109.20176325928686,120.0,105.39911837035658,50.0,close
10360,110.78760014965076,109.26082801269965,120.0,105.36958599365018,50.0,close
10445,111.22691846980032,109.29414438861288,120.0,105.35292780569355,50.0,close
10524,111.72251388452577,109.31369294108528,120.0,105.34315352945737,50.0,close
10612,112.1614890449447,109.32721606798266,120.0,105.33639196600868,50.0,close
10692,112.5476241308835,109.34497243329233,120.0,105.32751378335384,50.0,close
10762,112.87282874092628,109.37085894070209,120.0,105.31457052964896,50.0,close
10840,112.97483283720737,109.40634398872261,120.0,105.2968280056387,50.0,close
10925,112.91511838739662,109.4446042125153,120.0,105.27769789374236,50.0,close
10990,112.82414332255048,109.47986565451296,120.0,105.26006717274352,50.0,close
11065,113.05366173476477,109.50668292347568,120.0,105.24665853826215,50.0,close
11130,113.51503719308235,109.5234161558014,120.0,105.2382919220993,50.0,close
11213,114.04527483076325,109.52983490988579,120.0,105.23508254505711,50.0,close
11274,114.46432895971736,109.5284466243104,120.0,105.2357766878448,50.0,close
11338,114.48150763019459,109.53179171468885,120.0,105.23410414265558,50.0,close
11408,114.04526420661136,109.546881466695,120.0,105.2265592666525,50.0,close
11483,113.51907590387273,109.5755378277055,120.0,105.21223108614726,50.0,close
11547,113.09627701836067,109.60425808173288,120.0,105.19787095913355,50.42419171241974,close
11612,113.04912482009355,109.6339912734292,120.0,105.18300436328539,51.546483732973314,close
11668,113.03635925624931,109.6606809497129,120.0,105.16965952514354,52.41529907222335,close
11727,113.03110471473346,109.68537741968582,120.0,105.15731129015708,53.06492648243446,close
11792,112.82189547597764,109.70400940364416,120.0,105.14799529817793,53.56367278831837,close
11856,112.45705853333061,109.71567940912836,120.0,105.14216029543583,53.79234494777671,close
11923,112.1424590587878,109.71864273568762,120.0,105.14067863215618,53.96367462248253,close
12007,111.87945106595271,109.7061120834837,120.0,105.14694395825815,54.14631746652714,close
12072,111.68094869712172,109.68860411256789,120.0,105.15569794371606,54.49747160161681,close
