time_ms,J1,J2,J3,J4,J5,gripper
41,90.0,91.72425865154695,91.35698644718381,86.91875490126925,88.44667073767104,open
85,90.0,91.79238898479763,91.26234663476104,86.94526438044137,89.42605084871403,open
128,90.0,91.79380638602252,91.36875183826807,86.83744177570945,90.630011398269,open
173,90.0,91.84525768787937,91.2332369956602,86.92150531646045,91.02204036320384,open
216,90.0,91.85985271484006,91.18043784012222,86.95970944503773,91.14995609590818,open
260,90.0,91.83740637705331,91.23885454422258,86.92373907872413,91.35638869272626,open
306,90.0,91.74307896918079,91.57706368569937,86.67985734511986,91.69626358576602,open
349,90.0,91.68031875364709,91.78426173895986,86.53541950739309,91.99868121362528,open
395,90.0,91.69351905953808,91.67900854884194,86.62747239162002,92.34043544393114,open
439,90.0,91.72694516554287,91.47023719296955,86.8028176414876,92.84469262556351,open
484,90.0,91.76952185261482,91.27254550139968,86.95793264598554,93.35652079318001,open
529,90.0,91.79233788791574,91.20970035852763,86.99796175355665,93.68297327581013,open
572,90.0,91.83833877489569,91.12039049409562,87.04127073100874,93.93398017691587,open
616,90.0,91.88722680701291,91.01424484021392,87.0985283527732,94.2642835911112,open
659,90.0,91.92828530386127,90.91220121954318,87.15951347659556,94.39937243074846,open
704,90.0,91.92326785092229,90.90672649754002,87.17000565153772,94.54161726163198,open
747,90.0,91.84001440037554,91.09786835982625,87.06211723979823,94.7214322432146,open
790,90.0,91.70240326943228,91.40098659514165,86.89661013542607,95.21192563972184,open
835,90.0,91.45951435575306,91.98476153659651,86.55572410765045,95.70522720839949,open
878,90.0,91.16762398130392,92.59684483171704,86.23553118697906,96.18990387584793,open
925,90.0,90.83234136521885,93.29921590562815,85.86844272915302,96.69549372081596,open
967,90.0,90.53384914987132,93.86618031688225,85.59997053324645,97.3977835886289,open
1016,90.0,90.39095588681326,93.92234493781056,85.68669917537619,98.40053244981613,open
1060,90.0,90.35356653805654,93.49691148100679,86.1495219809367,99.68119212403491,open
1104,90.0,90.325363917267,92.86363814163454,86.81099794109849,101.36501668436401,open
1150,90.0,90.1479527098229,92.61436258052645,87.2376847096507,103.08464698730569,open
1194,90.0,89.72802377047603,92.90744238378916,87.36453384573483,104.10520283368965,open
1238,90.0,89.08730278147749,93.46617232436697,87.44652489415556,104.14415457837723,open
1281,90.0,88.17750110946386,94.10777515161296,87.71472373892318,103.1943321010078,open
1323,90.0,86.985192679803,94.81729646772156,88.19751085247545,102.07270532399806,open
1367,90.0,85.60867151621095,95.66573881506714,88.72558966872192,100.46023478531302,open
1413,90.0,84.24859183228449,96.62929920926162,89.12210895845391,98.90917364717936,open
1458,90.0,83.12743727097418,97.2586272151061,89.61393551391971,96.74237238008237,open
1504,90.0,82.1845934681704,97.58762593302802,90.2277805988016,94.27272546780367,open
1549,90.0,81.3437429956724,97.59952644883323,91.05673055549438,90.94383396496536,open
1593,90.0,80.56376582254012,97.55163033541608,91.88460384204383,87.51158154128487,open
1638,90.0,79.64744127279627,97.53955281064368,92.81300591656007,84.4042941868349,open
1685,90.0,78.54505027623158,97.82791369867486,93.62703602509357,81.48455174498582,open
1733,90.0,77.16231363781827,98.61810490358793,94.21958145859382,78.39742745352831,open
1778,90.0,75.73007927630005,100.02634982433655,94.24357089936343,75.33108674088166,open
1821,90.0,74.30918763766509,101.72137141302754,93.96944094930738,72.69867986153801,open
1865,90.0,73.03155689305598,103.29949627784013,93.66894682910389,70.37796795925996,open
1910,90.0,71.97493104801467,104.38470224687458,93.64036670511076,68.19721374192812,open
1956,90.0,70.91667342889681,105.34859286887855,93.73473370222466,65.02284235769143,open
2003,90.0,69.8110011056765,106.21045271714692,93.9785461771766,61.31457376783793,open
2046,90.0,68.56838284435631,107.27240315545596,94.15921400018775,56.864602668105704,open
2091,90.0,67.41474556971664,108.11814627364613,94.46710815663727,54.20758723214914,open
2138,90.0,66.382762133685,108.87102434600317,94.74621352031183,53.63859794575664,open
2184,90.0,65.50045952538888,109.19660461812414,95.30293585648701,54.506112714361976,open
2230,90.0,64.79451749663025,108.95288301572687,96.2525994876429,54.60524446200918,open
2276,90.0,64.09171913317732,108.35437817591317,97.55390269090952,53.786174213661354,open
2320,90.0,63.30657613624338,107.64667793649245,99.04674592726418,52.60035021754358,open
2366,90.0,62.20537230212547,106.95384690488693,100.84078079298763,52.873449155371134,open
2414,90.0391229760799,60.79561172087896,106.77015975147745,102.43422852764361,54.3399351816533,open
2459,92.52813728265127,59.68025260181878,107.29563551897427,103.43413475137989,57.760901149753394,open
2504,95.71376128863153,59.0567081029639,108.38156912763154,103.63090405496888,60.34335575329045,open
2549,98.43832254944267,59.01560392936902,108.90882714646351,103.92223653624018,60.81109720841029,open
2593,98.47557713343572,59.01560392936902,108.70790511335333,104.6425768796773,59.40557784920544,open
2638,97.72090582577111,59.01560392936902,108.24207655698436,105.52154407487109,57.152768237265136,open
2682,98.29829596791038,59.01560392936902,108.41658251102895,105.89060827562683,55.369849821511025,open
2725,99.74710892291014,59.01560392936902,109.18521088021785,105.8332380763427,54.01375929949485,open
2770,103.03525190577481,59.01560392936902,111.60095288869088,104.73550993096671,53.463525899306646,open
2814,106.87880872355686,59.01560392936902,115.46106909240822,102.68973256978047,57.8882579538588,open
2861,111.0429766115839,59.01560392936902,120.38199188642882,99.87621705004507,66.09256077945793,open
2908,113.87424712944014,59.01560392936902,124.60949345109495,97.4186877135652,74.78424823072694,open
2952,115.1245273552033,59.01560392936902,127.39296881991963,95.95789505859945,77.79013906776521,open
2995,115.71335366265806,59.01560392936902,129.5114071120737,94.9873992632356,76.55633033022767,open
3039,116.01446924263531,59.01560392936902,130.0,94.07788422071117,71.83733309882774,open
3084,116.56711151949423,59.01560392936902,130.0,92.79073174258126,65.19839331310438,open
3127,116.81617168001642,59.01560392936902,130.0,91.69047254578572,56.815254050980926,open
3170,116.99956566890609,59.01560392936902,130.0,90.60461672290045,50.18916944633088,open
3217,116.79899022594996,59.01560392936902,130.0,89.57766863918464,50.0,open
3262,117.00128587880712,59.01560392936902,130.0,87.97169711255529,50.0,open
3308,117.0168234177256,59.01560392936902,130.0,86.81609835903627,50.0,open
3352,117.22185315164208,59.01560392936902,130.0,86.02496020256241,50.0,open
3400,117.0558202485254,59.01560392936902,130.0,85.98661250415573,50.0,open
3443,117.28124832745655,59.01560392936902,130.0,85.59724385108841,50.0,open
3500,117.62423571057991,59.01560392936902,130.0,85.16264715665987,50.0,open
3546,118.07810733344402,59.01560392936902,130.0,84.51445944815846,50.0,open
